AAE	above aerodrome elevation 
SNR	Signal-to-noise ratio
SPKR	Speaker
SQ or SQL	Squelch
SRS	Speed Reference System
SSCV/DR	Solid-state cockpit voice/data recorder
SSCVR	Solid-state cockpit voice recorder
SSFDR	Solid-state flight data recorder
SSR	Secondary surveillance radar
STAR	Standard Terminal Arrival Route
STARS	Standard Terminal Automation Replacement System
STC	Supplemental Type Certificate
STCA	Short-Term Conflict Alert
STP	Standard temperature and pressure
SUA	Special use airspace
TA	Traffic advisory (see TCAS)
TAA	Terminal Arrival Altitude
TACAN	Tactical air navigation system
Tach	Tachometer
TAD	Terrain awareness display
TAF	Terminal area forecast
TAS	True airspeed
TAT	"True air temperature, or total air temperature"
TAWS	Terrain awareness and warning system
TBO	"Time before overhaul, or time between overhaul"
TCA	"Throttle control assembly, or terminal control area"
TCAS	Traffic collision avoidance system
TCF	Terrain clearance floor
TCN	TACAN
TCU	TACAN control unit
TDOP	Time dilution of precision
TDR	Transponder (in some cases)
TERPS	"Terminal instrument procedures, or terminal en route procedures"
TFR	Temporary flight restrictions
TFT	Thin-film transistor
TGT	"Turbine gas temperature, or target"
THR	Threshold
THDG	True heading
TIS	Traffic information service
TIT	Turbine Inlet Temperature
TK	Track angle
TKE	Track-angle error
TLA	Thrust Lever Angle
TLA	Three-letter acronym
TOC	Top of climb
TOD	Top of Descent point
TOGA or TO/GA	"Takeoff/Go-around switch, Takeoff/go-around thrust"
TOT	Turbine outlet temperature
TR or T/R	Transmitter receiver or transceiver
T/R	Thrust Reverser or Tail Rotor
TRACON	Terminal radar approach control
TRANS	"Transmit, Transmission, or Transition"
TRK	Track
TRP	Mode S transponder
TTL	Tuned to Localizer
TTR	TCAS II transmitter/receiver
TTS	Time to station
TVE	Total vertical error
TWDL	"Two-way data link, or terminal weather data link"
TWDR	Terminal Doppler Weather Radar
TWIP	Terminal weather information for pilots
TWR	Terminal weather radar
Twr	Tower (Aerodrome Control)
TX	Transmit
UAC	Upper Area Control
UART	Universal asynchronous receiver transmitter
UAV	Unmanned aerial vehicle
UHF	Ultra-high frequency
ULB	Underwater locator beacon
USB	Universal Serial Bus
UTC	Universal Time Coordinate
V	Volts or voltage
V/L	VOR/Localizer
V/NAV	Vertical navigation
V/R	Voltage regulator
V/REF	Reference velocity
V/S	Vertical speed
V/TRK	Vertical track
VASI	Visual approach slope indicator
VASIS	Visual approach slope indicator (system)
VDF	VHF Direction Finding
VDL	VHF Data Link
VDR	VHF digital radio
VFO	Variable frequency oscillator
VFR	Visual flight rules
VG/DG	Vertical gyroscope/directional gyroscope
VGA	Video Graphics Array
VHF	Very high frequency
VMC	Visual meteorological conditions or minimum control speed with critical engine out
VNE	Never exceed speed
VNO	Maximum structural cruising speed
VNR	VHF navigation receiver
VOR	VHF omnidirectional range and ranging
VOR/DME	VOR with Distance measuring equipment
VOR/MB	VOR marker beacon
VORTAC	VOR and TACAN combination
VOX	Voice transmission
VPA	Vertical Path Approach
VPATH	Vertical path
VRP	Visual Point of Reference
VSI	Vertical speed indicator
VSM	Vertical separation limit
VSO	Stall speed in landing configuration
VSWR	Voltage–standing wave ratio
VX	Speed for best angle of climb
VY	Speed for best rate of climb
WAAS	Wide Area Augmentation System
WD	Wind direction
WINDR	Wind direction
WMA	WXR waveguide adapter
WMI	WXR indicator mount
WMS	Wide-area master station
WMSC	Weather message switching center
WMSCR	Weather message switching center replacement
WPT	Waypoint
WRT	WXR receiver transmitter
WS	Wind shear
WX	Weather
WXR	Weather radar system
WYPT	Waypoint
XCVR	Transceiver
XFR	Transfer
XMIT	Transmit
XMSN	Transmission
XMTR	Transmitter
XPDR	Transponder
XTK	Crosstrack
X-Start	Cross-start. Use the air pressure or electrical power from a working engine.
YD	Yaw damper
Y 	YAW
ZFW	Zero Fuel Weight
